Date : 2025-04-20 17:18:04
Directory : c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]
Total : 117 files,  17889 codes, 1327 comments, 2661 blanks, all 21877 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Lua        |         71 |     11,322 |      1,157 |      1,716 |     14,195 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\html\style.css                                  | CSS        |        249 |          1 |         41 |        291 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\server\server.lua                               | Lua        |        115 |          3 |         46 |        164 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\server\server_vehicle_despawn.lua               | Lua        |        225 |         46 |         62 |        333 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\client.lua                                  | Lua        |        111 |         29 |         34 |        174 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\doors.json                                  | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\fxmanifest.lua                              | Lua        |         23 |          2 |          6 |         31 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\html\index.html                             | HTML       |         79 |         27 |          5 |        111 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\html\script.js                              | JavaScript |        240 |         12 |         60 |        312 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\html\style.css                              | CSS        |        220 |          1 |         37 |        258 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\menu.lua                                    | Lua        |        442 |         63 |        101 |        606 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\server.lua                                  | Lua        |         75 |         13 |         24 |        112 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipou-loading\fxmanifest.lua                             | Lua        |         12 |          0 |          3 |         15 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipou-loading\index.html                                 | HTML       |         69 |          0 |         14 |         83 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipou-loading\keks.css                                   | CSS        |        150 |          0 |         22 |        172 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipou-loading\script.js                                  | JavaScript |         32 |          5 |          6 |         43 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\client.lua                                     | Lua        |         43 |          0 |         27 |         70 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\fxmanifest.lua                                 | Lua        |         15 |          2 |          4 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\html\index.html                                | HTML       |         82 |         10 |          8 |        100 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\html\script.js                                 | JavaScript |        180 |         27 |         43 |        250 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\html\style.css                                 | CSS        |        218 |          8 |         36 |        262 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\client\main.lua                            | Lua        |        133 |          4 |         21 |        158 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\config.lua                                 | Lua        |          7 |         41 |          5 |         53 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\fxmanifest.lua                             | Lua        |         22 |         10 |          6 |         38 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\ar.lua                             | Lua        |        198 |          0 |          2 |        200 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\da.lua                             | Lua        |        198 |          0 |          2 |        200 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\de.lua                             | Lua        |        198 |          0 |          2 |        200 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\en.lua                             | Lua        |        204 |          0 |          3 |        207 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\es.lua                             | Lua        |        198 |          0 |          2 |        200 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\et.lua                             | Lua        |        198 |          0 |          2 |        200 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\fi.lua                             | Lua        |        198 |          0 |          2 |        200 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\fr.lua                             | Lua        |        198 |          0 |          2 |        200 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\it.lua                             | Lua        |        195 |          0 |          2 |        197 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\lt.lua                             | Lua        |        198 |          0 |          2 |        200 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\nl.lua                             | Lua        |        195 |          0 |          1 |        196 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\pt-br.lua                          | Lua        |        207 |          0 |          3 |        210 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\pt.lua                             | Lua        |        196 |          0 |          2 |        198 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\ro.lua                             | Lua        |        201 |          1 |          2 |        204 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\sk.lua                             | Lua        |        195 |          0 |          2 |        197 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\th.lua                             | Lua        |        198 |          0 |          2 |        200 |
